Date,Demanded_Gas,Import_total_price_Dolares,PIB_Millones_de_Dolares,Poblacion_en_Mexico
1/1/2005,1819.58,10862892.6,772750.44,103263388
2/1/2005,1895.33,11277213.5,774777.18,103263388
3/1/2005,1765.86,11531065.8,779479.99,103263388
4/1/2005,1642.7,11498900,827052.29,103263388
5/1/2005,1895.54,12245188.4,839217.58,103263388
6/1/2005,2051.72,13931178.8,853371.96,103263388
7/1/2005,1962.05,14381826.5,856058.58,103263388
8/1/2005,1889.66,15797557.6,866824.53,103263388
9/1/2005,1739.1,17843166,856801.01,103263388
10/1/2005,1695.92,19536998.4,888774.41,103263388
11/1/2005,1648.95,15582577.5,889071.64,103263388
12/1/2005,1560.98,17404927,909345.59,103263388
1/1/2006,1610.45,13656616,910866.8,103263388
2/1/2006,1806.33,12987512.7,927895.94,103263388
3/1/2006,2006.88,12964444.8,924615.99,103263388
4/1/2006,2108.31,14188926.3,952150.57,103263388
5/1/2006,2298.9,14253180,938289.87,103263388
6/1/2006,2398.88,14369291.2,917336.06,103263388
7/1/2006,2480.62,14858913.8,927588.25,103263388
8/1/2006,2413.08,17253522,936838.63,103263388
9/1/2006,2298.49,12641695,947595.52,103263388
10/1/2006,2273.91,12074462.1,963226.3,103263388
11/1/2006,2134.41,14471299.8,983701.22,103263388
12/1/2006,2025.98,14222379.6,964439.18,103263388
1/1/2007,2108.85,14656507.5,969984.92,103263388
2/1/2007,2006.81,14750053.5,952275.76,103263388
3/1/2007,2259.02,15609828.2,934432.87,103263388
4/1/2007,2036.62,14480368.2,1001997.01,103263388
5/1/2007,2361.78,17335465.2,1011846.22,103263388
6/1/2007,2567.22,18252934.2,1031973.4,103263388
7/1/2007,2618.43,16024791.6,1030953.68,103263388
8/1/2007,2579.35,15837209,1012471.11,103263388
9/1/2007,2506.83,14639887.2,1007820.88,103263388
10/1/2007,2657.24,16528032.8,1066807.95,103263388
11/1/2007,2577.97,16086532.8,1092668.09,103263388
12/1/2007,2489.39,16828276.4,1067785.57,103263388
1/1/2008,2548.33,19826007.4,1048614.06,103263388
2/1/2008,2694.39,22067054.1,1056701.35,103263388
3/1/2008,2575.71,23335932.6,1067481,103263388
4/1/2008,2600.26,25378537.6,1171761.43,103263388
5/1/2008,2562.91,26961813.2,1187446.91,103263388
6/1/2008,2689.6,31333840,1200858.03,103263388
7/1/2008,2598.57,29805597.9,1175721.85,103263388
8/1/2008,2561.87,20469341.3,1225283.65,103263388
9/1/2008,2404.84,15583363.2,1181235.37,103263388
10/1/2008,2503.78,12919504.8,1100730.89,103263388
11/1/2008,2482.93,12464308.6,945238.4,103263388
12/1/2008,2383.92,13254595.2,890076.29,103263388
1/1/2009,2364.05,11583845,806182.2,103263388
2/1/2009,2377.22,9223613.6,763345.94,103263388
3/1/2009,2536.7,8675514,722379.13,103263388
4/1/2009,2585.33,8686708.8,822596.99,103263388
5/1/2009,2782.32,9932882.4,857152.22,103263388
6/1/2009,2786.68,9753380,869858.02,103263388
7/1/2009,2866,10288940,893928.86,103263388
8/1/2009,2939.05,9728255.5,891743.28,103263388
9/1/2009,2943.11,9123641,865679.21,103263388
10/1/2009,2733.51,10852034.7,909069.16,103263388
11/1/2009,2679.06,11064517.8,931873.18,103263388
12/1/2009,2615.28,13808678.4,963412.34,103263388
1/1/2010,2452.18,15129950.6,946516.19,112336538
2/1/2010,2415.37,13550225.7,950392.01,112336538
3/1/2010,2460.19,11759708.2,959675.66,112336538
4/1/2010,2643.9,11210136,1043020.81,112336538
5/1/2010,2864.36,12202173.6,1043471.69,112336538
6/1/2010,2991.73,14120965.6,991650.75,112336538
7/1/2010,2917.25,13740247.5,981736.31,112336538
8/1/2010,2846.52,12723944.4,1017631.59,112336538
9/1/2010,2540.74,10188367.4,980134.4,112336538
10/1/2010,2551.87,9543993.8,1073808.01,112336538
11/1/2010,2655.23,10089874,1091717.57,112336538
12/1/2010,2690.02,11674686.8,1087182.21,112336538
1/1/2011,2662.78,12035765.6,1088272.33,112336538
2/1/2011,2741.3,11952068,1110043.21,112336538
3/1/2011,2802.85,11155343,1103076.13,112336538
4/1/2011,2787.8,12099052,1178312.2,112336538
5/1/2011,2964.66,13044504,1213029.6,112336538
6/1/2011,3073.95,13986472.5,1199947.57,112336538
7/1/2011,3065.73,13857099.6,1219061.78,112336538
8/1/2011,3016.1,13240679,1207173.45,112336538
9/1/2011,2822.19,11458091.4,1156943.47,112336538
10/1/2011,2670.82,10042283.2,1091265.81,112336538
11/1/2011,2591.47,9070145,1112765.71,112336538
12/1/2011,2665.53,9969082.2,1115942.84,112336538
1/1/2012,2732.35,8388314.5,1072053.38,112336538
2/1/2012,2712.34,7486058.4,1158898.85,112336538
3/1/2012,2772.88,6765827.2,1169203.08,112336538
4/1/2012,2619.31,5762482,1198737.94,112336538
5/1/2012,2955.93,7271587.8,1180816.38,112336538
6/1/2012,3118.81,8171282.2,1063349.14,112336538
7/1/2012,3035.23,9075337.7,1135985.51,112336538
8/1/2012,3107.21,9601278.9,1145415.93,112336538
9/1/2012,3037.41,8778114.9,1153725.87,112336538
10/1/2012,2766.59,9268076.5,1238586.19,112336538
11/1/2012,2681.8,9708116,1217602.22,112336538
12/1/2012,2602.73,9525991.8,1227506.1,112336538
1/1/2013,2823.51,9995225.4,1184272.04,112336538
2/1/2013,2864.93,10027255,1194683.16,112336538
3/1/2013,2761.36,10686463.2,1179424.38,112336538
4/1/2013,2893.01,12439943,1270588.57,112336538
5/1/2013,3112.88,13260868.8,1288141.13,112336538
6/1/2013,3258.9,13459257,1226434.62,112336538
7/1/2013,3238.75,12372025,1202821.94,112336538
8/1/2013,3315.44,12101356,1212805.7,112336538
9/1/2013,3305.59,12594297.9,1167217.25,112336538
10/1/2013,3079.38,11701644,1238166.31,112336538
11/1/2013,2825.44,10877944,1242947.09,112336538
12/1/2013,2759.08,12112361.2,1231161.59,112336538
1/1/2014,2837.06,13504405.6,1212102.86,112336538
2/1/2014,2933.25,18068820,1185702.83,112336538
3/1/2014,2997.46,15466893.6,1192174.29,112336538
4/1/2014,3181.93,15305083.3,1272341.16,112336538
5/1/2014,3201.21,15557880.6,1275590.99,112336538
6/1/2014,3248.36,15624611.6,1284216.26,112336538
7/1/2014,3064.23,14003531.1,1277611.38,112336538
8/1/2014,3370.22,14121221.8,1255077.03,112336538
9/1/2014,3547.07,15075047.5,1265619.71,112336538
10/1/2014,3284.34,13794228,1286766.55,112336538
11/1/2014,3073.01,12998832.3,1276814.51,112336538
12/1/2014,2940.49,12320653.1,1242350.37,112336538
1/1/2015,3214.04,10863455.2,1125685.84,119938476
2/1/2015,3310.43,10262333,1131208.77,119938476
3/1/2015,3296.65,9988849.5,1113877.79,119938476
4/1/2015,3109.79,8614118.3,1155137.53,119938476
5/1/2015,3253.82,9305925.2,1127299.12,119938476
6/1/2015,3358.52,9874048.8,1127990.73,119938476
7/1/2015,3658.49,11012054.9,1114926.34,119938476
8/1/2015,3432.34,10297020,1092092.11,119938476
9/1/2015,3514.52,9735220.4,1043130.14,119938476
10/1/2015,3417.37,8919335.7,1082075.77,119938476
11/1/2015,3324.2,7512692,1110874.71,119938476
12/1/2015,3490.3,8027690,1104765.38,119938476
1/1/2016,3143.12,7700644,1024170.77,119938476
2/1/2016,3036.73,6680806,961175.81,119938476
3/1/2016,3150.76,5923428.8,990477.33,119938476
4/1/2016,3282.65,6663779.5,1080606.68,119938476
5/1/2016,3130.28,6448376.8,1087249.18,119938476
6/1/2016,3575.49,8795705.4,1010853.81,119938476
7/1/2016,3614.35,10120180,1027813.35,119938476
8/1/2016,3576.18,10442445.6,998293.65,119938476
9/1/2016,3465.07,10603114.2,998193.04,119938476
10/1/2016,3381.48,10685476.8,1043479.61,119938476
11/1/2016,3167.43,8710432.5,1053870.44,119938476
12/1/2016,2879.86,10108308.6,971679.03,119938476
1/1/2017,2690.93,9875713.1,971291.2,119938476
2/1/2017,2815.47,9150277.5,969285.52,119938476
3/1/2017,2838.2,8344308,1011879,119938476
4/1/2017,2914.01,9587092.9,1098712.05,119938476
5/1/2017,3119.05,9887388.5,1096306.64,119938476
6/1/2017,3253.94,10184832.2,1106860.47,119938476
7/1/2017,3491.19,11241631.8,1119361.69,119938476
8/1/2017,3491.77,11453005.6,1144224.11,119938476
9/1/2017,3339.67,10987514.3,1145813.12,119938476
10/1/2017,3017.18,9896350.4,1195069.21,119938476
11/1/2017,3135.4,10284112,1139427.92,119938476
12/1/2017,2983.61,9935421.3,1169026.3,119938476
1/1/2018,3041.46,11070914.4,1092064.66,119938476
2/1/2018,3186.84,10867124.4,1156726.54,119938476
3/1/2018,3203.37,9610110,1128478.39,119938476
4/1/2018,3222.52,9699785.2,1220796.93,119938476
5/1/2018,3270.33,10105319.7,1169802.25,119938476
6/1/2018,3479.69,10578257.6,1124349.65,119938476
7/1/2018,3751.09,11365802.7,1098251.97,119938476
8/1/2018,3620.71,11622479.1,1190141.71,119938476
9/1/2018,3664.34,10993020,1151502.07,119938476
10/1/2018,3765.69,12389120.1,1240510.07,119938476
11/1/2018,3772.25,13730990,1149330.62,119938476
12/1/2018,3676.41,15587978.4,1143554.03,119938476
1/1/2019,3500.08,11970273.6,1144964.55,119938476
2/1/2019,3647.6,11052228,1173603.95,119938476
3/1/2019,3807.71,10547356.7,1162170.65,119938476
4/1/2019,3750.5,8888685,1195617.58,119938476
5/1/2019,3876.48,12094617.6,1202847.09,119938476
6/1/2019,4184.76,9373862.4,1162703.29,119938476
7/1/2019,4361.97,9770812.8,1203205.57,119938476
8/1/2019,4343.61,9382197.6,1197761.77,119938476
9/1/2019,4445.27,10935364.2,1140472.42,119938476
10/1/2019,3037.44,7046860.8,1198652.22,119938476
11/1/2019,3076.62,7845381,1240899.73,119938476
12/1/2019,2947.09,7043545.1,1211360.38,119938476
1/1/2020,3402.47,6975063.5,1220419.22,126014024
2/1/2020,3402.47,6464693,1233616.69,126014024
3/1/2020,3819.3,6531003,1169814.43,126014024
4/1/2020,4235.25,6903457.5,779144.89,126014024
5/1/2020,4387.91,8951336.4,782679.31,126014024
6/1/2020,5168.27,9199520.6,866731.8,126014024
7/1/2020,4581.99,8522501.4,965075.67,126014024
8/1/2020,4163.77,9077018.6,973346.29,126014024
9/1/2020,4451.61,10238703,1012267.6,126014024
10/1/2020,3869.77,8552191.7,1079273.95,126014024
11/1/2020,3996.14,11309076.2,1120122.65,126014024
12/1/2020,3941.12,11311014.4,1181835.88,126014024
1/1/2021,3298.43,9367541.2,1172257.66,126014024
2/1/2021,3454.21,93125501.6,1153283.92,126014024
3/1/2021,3681.3,10786209,1128659.78,126014024
4/1/2021,4104.82,11370351.4,1198341.5,126014024
5/1/2021,4243.93,13113743.7,1201789.89,126014024
6/1/2021,4985.53,16502104.3,1219762.94,126014024
7/1/2021,4631.85,18249489,1194635.62,126014024
8/1/2021,4098.81,17337966.3,1205756.34,126014024
9/1/2021,4424.39,21856486.6,1199142.09,126014024
10/1/2021,4417.51,24738056,1240178.42,126014024
11/1/2021,4557.36,24883185.6,1219399.58,126014024
12/1/2021,4538.89,20561171.7,1195826.78,126014024
1/1/2022,3320.75,15441487.5,1241259.78,126014024
2/1/2022,3449.8,18042454,1241802.61,126014024
3/1/2022,3206.96,14687876.8,1244996.77,126014024
4/1/2022,3403.44,20522743.2,1368556.8,126014024
5/1/2022,3350.03,25560728.9,1330714.02,126014024
6/1/2022,3498.7,27849652,1375795.2,126014024
7/1/2022,3350.97,22786596,1336666.89,126014024
8/1/2022,3506.42,29664313.2,1344477.13,126014024
9/1/2022,3778.37,29206800.1,1345539.58,126014024
